1622764800,39249.9,39285.7,35555.8,36829.3
1622851200,36829.3,37962.4,34800,35514.6
1622937600,35514.6,36465.9,35230.4,35798.1
1623024000,35798,36800,33301.3,33560
1623110400,33560,34061.3,31000,33379.8
1623196800,33379.8,37534.7,32393.9,37377
1623283200,37386.3,38451.5,35800,36673
1623369600,36673,37680.4,35926.2,37337.6
1623456000,37332.6,37453.7,34625.5,35573.4
1623542400,35553.3,39375,34761.7,39018.7
1623628800,39015.3,41029,38737.2,40543
1623715200,40543.1,41355.3,39525,40156.7
1623801600,40154.6,40496.1,38105.2,38347.2
1623888000,38356,39571.9,37366.3,38091.2
1623974400,38094.7,38194.5,35117.3,35823
1624060800,35822.9,36492.7,34811,35478.5
1624147200,35479.6,36191.3,33335,35600.5
1624233600,35603.2,35742.5,31251.6,31614.1
1624320000,31614,33290.2,28801.8,32505.1
1624406400,32505,34839.8,31709,33675
1624492800,33676.1,35301.4,32306.2,34657.9
1624579200,34658,35499.9,31276.1,31588.1
1624665600,31588.1,32720.9,30153,32283.7
1624752000,32283.7,34752.4,32001.2,34704.4
1624838400,34703.8,35291.5,33857.4,34490.7
1624924800,34490.8,36595.2,34234.4,35908.9
1625011200,35906.6,36099.6,34022.7,35045.4
1625097600,35045.4,35056.5,32711,33500.1
1625184000,33500,33988.2,32700.8,33791.4
1625270400,33791.5,34942.6,33324,34675.2
1625356800,34675.2,35966.8,34349.9,35273.7
1625443200,35279.8,35283.7,33130.7,33683.7
1625529600,33683.7,35100,33510,34228.5
1625616000,34227.1,35057.3,33777.2,33862.8
1625702400,33862.7,33922.7,32085.5,32875.7
1625788800,32872.8,34100,32265,33816.4
1625875200,33815.5,34260.9,33037,33510
1625961600,33510,34611.3,33318.5,34263.5
1626048000,34263.5,34702.9,32630.4,33089.4
1626134400,33089,33341,32195,32725.2
1626220800,32725.2,33170,31575.4,32819.3
1626307200,32819.3,33184,31150,31868.5
1626393600,31877.8,32246.9,31026,31389.1
1626480000,31383.4,31950.9,31173.6,31520.2
1626566400,31520.2,32447,31112,31778.1
1626652800,31778.2,31893,30400,30833.3
1626739200,30833.4,31056.4,29272,29782.5
1626825600,29783.6,32844.8,29481.8,32144
1626912000,32144.1,32600,31717,32289.7
1626998400,32289.8,33640,31964,33634.7
1627084800,33634.7,34494.6,33399.9,34256.7
1627171200,34256.7,35400,33848.3,35388.4
1627257600,35385.1,40569.7,35208,37242.9
1627344000,37242,39554,36345,39465.5
1627430400,39465.6,40893,38746.8,40015.5
1627516800,40016.1,40648.9,39255,40022.4
1627603200,40022.4,42308.9,38320,42217.2
