39249.9,39285.7,35555.8,36829.3
36829.3,37962.4,34800,35514.6
35514.6,36465.9,35230.4,35798.1
35798,36800,33301.3,33560
33560,34061.3,31000,33379.8
33379.8,37534.7,32393.9,37377
37386.3,38451.5,35800,36673
36673,37680.4,35926.2,37337.6
37332.6,37453.7,34625.5,35573.4
35553.3,39375,34761.7,39018.7
39015.3,41029,38737.2,40543
40543.1,41355.3,39525,40156.7
40154.6,40496.1,38105.2,38347.2
38356,39571.9,37366.3,38091.2
38094.7,38194.5,35117.3,35823
35822.9,36492.7,34811,35478.5
35479.6,36191.3,33335,35600.5
35603.2,35742.5,31251.6,31614.1
31614,33290.2,28801.8,32505.1
32505,34839.8,31709,33675
33676.1,35301.4,32306.2,34657.9
34658,35499.9,31276.1,31588.1
31588.1,32720.9,30153,32283.7
32283.7,34752.4,32001.2,34704.4
34703.8,35291.5,33857.4,34490.7
34490.8,36595.2,34234.4,35908.9
35906.6,36099.6,34022.7,35045.4
35045.4,35056.5,32711,33500.1
33500,33988.2,32700.8,33791.4
33791.5,34942.6,33324,34675.2
34675.2,35966.8,34349.9,35273.7
35279.8,35283.7,33130.7,33683.7
33683.7,35100,33510,34228.5
34227.1,35057.3,33777.2,33862.8
33862.7,33922.7,32085.5,32875.7
32872.8,34100,32265,33816.4
33815.5,34260.9,33037,33510
33510,34611.3,33318.5,34263.5
34263.5,34702.9,32630.4,33089.4
33089,33341,32195,32725.2
32725.2,33170,31575.4,32819.3
32819.3,33184,31150,31868.5
31877.8,32246.9,31026,31389.1
31383.4,31950.9,31173.6,31520.2
31520.2,32447,31112,31778.1
31778.2,31893,30400,30833.3
30833.4,31056.4,29272,29782.5
29783.6,32844.8,29481.8,32144
32144.1,32600,31717,32289.7
32289.8,33640,31964,33634.7
33634.7,34494.6,33399.9,34256.7
34256.7,35400,33848.3,35388.4
35385.1,40569.7,35208,37242.9
37242,39554,36345,39465.5
39465.6,40893,38746.8,40015.5
40016.1,40648.9,39255,40022.4
40022.4,42308.9,38320,42217.2
42202.9,42423.4,41026.4,41464
41464,42581.7,39390.1,39852.1
39852.1,40468.6,38689,39147.8
39147.8,39774,37653.6,38201.7
38201.6,39959.4,37500,39719.8
39725.3,41350,37304.2,40864.4
40864.5,43376.7,39856.1,42839.6
42839.5,44707.3,42411,44574.4
44574.9,45317.9,43265.5,43792.8
43792.5,46457,42780,46269
46263.7,46707.6,44632,45581.3
45581.5,46740,45337.8,45520.8
45520.4,46209,43750,44415.2
44411.3,47891,44222.3,47807.7
47807.7,48151.3,45969.2,47071.4
47071.4,47377.6,45486.7,46980.4
46980.5,48045,45627.7,45887
45887,47172.9,44390.7,44684.3
44684.4,46015.3,44206.8,44708.3
44708.3,47049.2,43925.6,46765.7
46765.6,49400.4,46632.5,49319.4
49319.9,49776.4,48195.9,48821.3
48821.3,49490,48034,49237.4
49232.9,50531.2,49002.8,49478.2
49481.7,49897.1,47567,47662.5
47662.5,49250,47130,48983.2
48983.3,49342.3,46275,46829.5
46829.4,49164,46344.1,49054.1
49053.7,49286,48350,48890
48892,49634.8,47750,48763.2
48763.2,48869.4,46833.1,46981
46981,48248.9,46688.9,47095.5
47095.5,49125,46503.8,48815.3
48815.3,50380.8,48595,49248.9
49248.8,51027,48322.5,50011
50010.9,50548.5,49368,49902.6
49902.8,51885.2,49460.9,51768
51768,52827.3,50969.3,52667.2
52667.2,52920,42478.9,46861.7
46864,47338.5,44408,46048.1
46047.6,47392,45488.6,46393.1
46393,47032,44119.1,44850.3
44850.4,45984,44728,45170.5
45170.5,46443,44738.1,46025.5
46025.5,46852.2,43375,44938.3
44938.3,47245.4,44645,47108.8
47108.1,48444.2,46693,48124.3
48124.3,48520,47012.4,47738.6
47738.6,48139.1,46750.6,47300.3
47300.3,48800,47030,48294
48294,48366.5,46816.2,47242.5
47242.4,47353.6,42470.5,43018.6
43010.4,43648,39571,40730.4
40730.3,44000,40568,43556.4
43550.7,44978.2,43064.1,44865.7
44865.6,45144.1,40683,42803.9
42803.8,42969.9,41631.2,42676.6
42676.5,43930,40751,43170.6
43170.6,44357.1,42090.6,42137
42137.1,42762.2,40875,41018.9
41018.9,42593,40752.1,41536.9
41529.8,44123,41413,43817.2
43819.1,48466.6,43293.6,48144.5
48148.8,48333,47436.1,47631.6
47631.6,49219.4,47099.9,48204.2
48204.2,49500,46909,49223.7
49223.7,51887,49034.7,51462.3
51462.3,55770.5,50386.1,55314.7
55314.7,55329.4,53376.8,53778.6
53778.6,56138.6,53613,53949.7
53949.7,55500,53650,54947.7
54948.5,56505.5,54095,54663.6
54663.6,57840,54414.4,57471.9
57471.9,57670,53889,56004.5
56001.1,57764.4,54222.5,57367.2
57367.2,58529.9,56795,57344.9
57344.8,62947.4,56861.8,61673.9
61673.4,62358,60154.4,60878.4
60878.5,61701,58977,61526.2
61526.2,62694,59868.3,62027.8
62027.7,64472.4,61324.6,64285.4
64285.4,66985.9,63500,66007.2
66007.2,66663.4,62015.3,62210.1
62210,63734.9,60011,60699
60698.6,61748,59611,61296.2
61296.2,61487.6,59517.2,60854
60853.9,63710.7,60658.1,63082.8
63082.9,63287.1,59850,60329.6
60330.2,61488.2,57963,58408.2
58408.2,62509,57820,60590.7
60590.7,62961.9,60193,62253.3
62253.2,62368,60644,61855.9
61855.9,62397,59964,61293.6
61293.9,62440.6,59381.2,60897.5
60898,64281.4,60635,63221.9
63221.9,63506.8,60400,62894
62893.9,63086.9,60700,61401.9
61401.9,62604,60730,60947.9
60947.7,61555,60050,61467.1
61467.1,63277.2,61326.7,63264.8
63267.9,67795.7,63267.9,67509.5
67509.4,68500.1,66171.6,66941.7
66943,69028,62540,64892.2
64892.2,65589.9,64109.1,64769.2
64770.9,65472.7,62263.9,64134.1
64134.1,64963.5,63369.3,64370.6
64370.6,65511.1,63569.8,65505.2
65505.1,66361,63368,63611.8
63610.4,63613.5,58557.5,60060.8
60060.8,60822.7,58358.6,60345
60345,60951.2,56473.3,56877.7
